归来煮白石	欲持一瓢酒
欲持一瓢酒	远慰风雨夕
远慰风雨夕	落叶满空山
落叶满空山	何处寻行迹
客从东方来	衣上灞陵雨
衣上灞陵雨	问客何为来
问客何为来	采山因买斧
采山因买斧	冥冥花正开
冥冥花正开	飏飏燕新乳
飏飏燕新乳	昨别今已春
昨别今已春	鬓丝生几缕
江汉曾为客	相逢每醉还
相逢每醉还	浮云一别后
浮云一别后	流水十年间
流水十年间	欢笑情如旧
欢笑情如旧	萧疏鬓已斑
萧疏鬓已斑	何因北归去
何因北归去	淮上对秋山
楚江微雨里	建业暮钟时
建业暮钟时	漠漠帆来重
漠漠帆来重	冥冥鸟去迟
冥冥鸟去迟	海门深不见
海门深不见	浦树远含滋
浦树远含滋	相送情无限
相送情无限	沾襟比散丝
去年花里逢君别	今日花开又一年
今日花开又一年	世事茫茫难自料
世事茫茫难自料	春愁黯黯独成眠
春愁黯黯独成眠	身多疾病思田里
身多疾病思田里	邑有流亡愧俸钱
邑有流亡愧俸钱	闻道欲来相问讯
闻道欲来相问讯	西楼望月几回圆
怀君属秋夜	散步咏凉天
散步咏凉天	空山松子落
空山松子落	幽人应未眠
独怜幽草涧边生	上有黄鹂深树鸣
上有黄鹂深树鸣	春潮带雨晚来急
春潮带雨晚来急	野渡无人舟自横
故关衰草遍	离别自堪悲
离别自堪悲	路出寒云外
路出寒云外	人归暮雪时
人归暮雪时	少孤为客早
少孤为客早	多难识君迟
多难识君迟	掩泪空相向
掩泪空相向	风尘何处期
鹫翎金仆姑	燕尾绣蝥弧
燕尾绣蝥弧	独立扬新令
独立扬新令	千营共一呼
千营共一呼	林暗草惊风
林暗草惊风	将军夜引弓
将军夜引弓	平明寻白羽
平明寻白羽	没在石棱中
没在石棱中	月黑雁飞高
月黑雁飞高	单于夜遁逃
单于夜遁逃	欲将轻骑逐
欲将轻骑逐	大雪满弓刀
大雪满弓刀	野幕敞琼筵
野幕敞琼筵	羌戎贺劳旋
羌戎贺劳旋	醉和金甲舞
醉和金甲舞	雷鼓动山川
十年离乱后	长大一相逢
长大一相逢	问姓惊初见
问姓惊初见	称名忆旧容
称名忆旧容	别来沧海事
别来沧海事	语罢暮天钟
语罢暮天钟	明日巴陵道
明日巴陵道	秋山又几重
嫁得瞿塘贾	朝朝误妾期
朝朝误妾期	早知潮有信
早知潮有信	嫁与弄潮儿
回乐烽前沙似雪	受降城外月如霜
受降城外月如霜	不知何处吹芦管
不知何处吹芦管	一夜征人尽望乡
梧桐相待老	鸳鸯会双死
鸳鸯会双死	贞女贵殉夫
贞女贵殉夫	舍生亦如此
舍生亦如此	波澜誓不起
波澜誓不起	妾心古井水
慈母手中线	游子身上衣
游子身上衣	临行密密缝
临行密密缝	意恐迟迟归
意恐迟迟归	谁言寸草心
谁言寸草心	报得三春晖
山石荦确行径微	黄昏到寺蝙蝠飞
黄昏到寺蝙蝠飞	升堂坐阶新雨足
升堂坐阶新雨足	芭蕉叶大栀子肥
芭蕉叶大栀子肥	僧言古壁佛画好
僧言古壁佛画好	以火来照所见稀
以火来照所见稀	铺床拂席置羹饭
铺床拂席置羹饭	疏粝亦足饱我饥
疏粝亦足饱我饥	夜深静卧百虫绝
夜深静卧百虫绝	清月出岭光入扉
清月出岭光入扉	天明独去无道路
天明独去无道路	出入高下穷烟霏
出入高下穷烟霏	山红涧碧纷烂漫
山红涧碧纷烂漫	时见松枥皆十围
时见松枥皆十围	当流赤足踏涧石
当流赤足踏涧石	水声激激风吹衣
水声激激风吹衣	人生如此自可乐
人生如此自可乐	岂必局束为人鞿
岂必局束为人鞿	嗟哉吾党二三子
嗟哉吾党二三子	安得至老不更归
天地英雄气	千秋尚凛然
千秋尚凛然	势分三足鼎
势分三足鼎	业复五铢钱
业复五铢钱	得相能开国
得相能开国	生儿不象贤
生儿不象贤	凄凉蜀故伎
凄凉蜀故伎	来舞魏宫前
王濬楼船下益州	金陵王气黯然收
金陵王气黯然收	千寻铁锁沉江底
千寻铁锁沉江底	一片降幡出石头
一片降幡出石头	人世几回伤往事
人世几回伤往事	山形依旧枕寒流
山形依旧枕寒流	从今四海为家日
